Time [s],Coolant Temp [F],Engine Speed [RPM],Exhaust Gas Temp [F] 
45.210317,127.4,2713.7066099999997,-
45.244763,-,-,1436.437255859375
45.252227,125.60000000000001,2678.5499099999997,-
45.263464,125.60000000000001,2692.6125899999997,-
45.279814,125.60000000000001,2713.31598,-
45.279836,125.60000000000001,2711.36283,-
45.290761,125.60000000000001,2693.00322,-
45.301708,125.60000000000001,2678.94054,-
45.31301,125.60000000000001,2709.01905,-
45.320519,125.60000000000001,2720.34732,-
45.331765,125.60000000000001,2707.84716,-
45.34304,125.60000000000001,2679.7218,-
45.350532,125.60000000000001,2682.8468399999997,-
45.361841,125.60000000000001,2678.94054,-
45.383656,125.60000000000001,2660.5809299999996,-
45.390864,125.60000000000001,2604.72084,-
45.401096,125.60000000000001,2639.4869099999996,-
45.443761,125.60000000000001,2657.84652,-
45.447598,-,-,1436.437255859375
45.451362,125.60000000000001,2699.2533,-
45.462673,125.60000000000001,2714.09724,-
45.470168,125.60000000000001,2708.2377899999997,-
45.490231,125.60000000000001,2720.34732,-
45.501521,125.60000000000001,2718.0035399999997,-
45.512461,125.60000000000001,2704.33149,-
45.519951,125.60000000000001,2669.56542,-
45.531198,125.60000000000001,2685.19062,-
45.54244,125.60000000000001,2690.26881,-
45.549968,125.60000000000001,2679.33117,-
45.561245,125.60000000000001,2655.89337,-
45.572555,125.60000000000001,2631.28368,-
45.592602,125.60000000000001,2650.03392,-
45.642622,127.4,2626.5961199999997,-
45.65023,127.4,2608.62714,-
45.650276,-,-,1436.437255859375
45.661177,127.4,2585.9705999999996,-
45.69416,125.60000000000001,2659.40904,-
45.701374,125.60000000000001,2635.97124,-
45.712396,125.60000000000001,2673.47172,-
45.71995,125.60000000000001,2717.22228,-
45.731203,125.60000000000001,2733.6287399999997,-
45.742462,127.4,2729.3318099999997,-
45.749962,127.4,2721.90984,-
45.760964,127.4,2738.3163,-
45.771939,127.4,2733.23811,-
45.807255,127.4,2718.39417,-
45.82303,127.4,2700.03456,-
45.830543,127.4,2656.67463,-
45.841821,127.4,2651.20581,-
45.852842,127.4,2711.75346,-
45.852913,-,-,1436.437255859375
45.860301,127.4,2734.41,-
45.871584,127.4,2735.19126,-
45.882885,127.4,2723.8629899999996,-
45.89043,127.4,2740.26945,-
45.901778,127.4,2738.3163,-
45.913163,127.4,2714.48787,-
45.927407,127.4,2677.3780199999997,-
45.932419,127.4,2677.76865,-
45.946661,125.60000000000001,2686.36251,-
45.950517,125.60000000000001,2679.33117,-
45.961779,125.60000000000001,2656.2839999999997,-
45.997928,125.60000000000001,2626.5961199999997,-
46.001702,125.60000000000001,2650.03392,-
46.012959,125.60000000000001,2629.3305299999997,-
46.030935,125.60000000000001,2622.2991899999997,-
46.042227,125.60000000000001,2680.89369,-
46.053501,125.60000000000001,2673.47172,-
46.053568,-,-,1436.437255859375
46.061109,125.60000000000001,2660.1902999999998,-
46.072021,125.60000000000001,2707.84716,-
46.083316,125.60000000000001,2732.84748,-
46.090776,125.60000000000001,2731.28496,-
46.101746,125.60000000000001,2713.31598,-
46.113046,125.60000000000001,2726.5973999999997,-
46.120555,125.60000000000001,2740.26945,-
46.141743,125.60000000000001,2710.9721999999997,-
46.185799,125.60000000000001,2701.2064499999997,-
46.193272,127.4,2763.31662,-
46.212062,127.4,2827.37994,-
46.223327,127.4,2822.69238,-
46.237638,127.4,2802.77025,-
46.241333,127.4,2834.8019099999997,-
46.25267,127.4,2851.98963,-
46.256485,-,-,1436.437255859375
46.259886,127.4,2846.52081,-
46.271221,127.4,2822.69238,-
46.282426,127.4,2825.0361599999997,-
46.289923,127.4,2828.9424599999998,-
46.301193,127.4,2812.92663,-
46.312443,127.4,2784.80127,-
46.320013,127.4,2764.87914,-
46.376037,127.4,2790.27009,-
46.383576,127.4,2818.78608,-
46.391028,127.4,2812.92663,-
46.402288,127.4,2792.22324,-
46.409847,127.4,2818.78608,-
46.421189,127.4,2853.1615199999997,-
46.432486,127.4,2852.77089,-
46.462661,125.60000000000001,2848.8645899999997,-
46.462729,-,-,1436.437255859375
46.474178,125.60000000000001,2839.0988399999997,-
46.481799,125.60000000000001,2810.58285,-
46.493073,125.60000000000001,2786.7544199999998,-
46.500591,125.60000000000001,2787.92631,-
46.511861,125.60000000000001,2777.3793,-
46.523139,125.60000000000001,2747.6914199999997,-
46.530309,125.60000000000001,2706.28464,-
46.581592,125.60000000000001,2710.9721999999997,-
46.592852,125.60000000000001,2723.4723599999998,-
46.600373,127.4,2723.08173,-
46.611354,127.4,2710.58157,-
46.622597,127.4,2680.50306,-
