LOGNAME,1283748,0028.csv
VER,1283752,3
MSG,1308409,CAN init done
MSG,1321400,I2C init done
MSG,acc_mag found
ERR,am whoami,0
MSG,1349400,Sending CAN test message
CAN,2109692,1,01F0A000,0000459002691628
CAN,2110008,1,01F0A003,8114000000300426
CAN,2110332,1,01F0A004,03D1000100000100
CAN,2110654,1,01F0A005,000000000000000E
CAN,2111184,1,01F0A006,0080000000008000
CAN,2111514,1,01F0A007,FFFF00CC00320A00
CAN,2111856,1,01F0A009,0000800103E80000
CAN,2115245,1,01F0A00B,03E8000000003200
CAN,2115540,1,0C001000,012C000000000000
CAN,2115827,1,01F0A00D,0012E10000032400
CAN,2116133,1,000A0620,0000000000000000
CAN,2116429,1,0C301000,015F000000000000
CAN,2116708,1,01F0A00A,6464646464640000
CAN,2117397,1,0C201000,0143000000000000
ACC,2119044,28304,-163968,1000400
GYR,2120014,-687,546,-460
CAN,2120027,1,01F0A000,0000456B02571628
CAN,2120040,1,01F0A003,8114000000300426
CAN,2120334,1,01F0A004,03CF000100000100
CAN,2120655,1,01F0A005,000000000000000E
CAN,2125367,1,0C101000,0142000000000000
CAN,2126109,1,0C001000,012D000000000000
CAN,2126976,1,0C301000,0160000000000000
CAN,2127270,1,01F0A020,0000000000000000
CAN,2127600,1,01F0A010,0000000000323200
CAN,2127942,1,0C201000,0140000000000000
CAN,2128236,1,01F0A022,0000000000000000
CAN,2128542,1,01F0A011,0000000000000000
CAN,2128855,1,01F0A012,0649000000003200
CAN,2129695,1,01F0A000,0000455102481628
CAN,2130011,1,01F0A003,8114000000300426
CAN,2130335,1,01F0A004,03CE000100000100
CAN,2130657,1,01F0A005,000000000000000E
CAN,2131202,1,01F0A006,0080000000008000
CAN,2131527,1,01F0A007,FFFF00CC00320A00
CAN,2131866,1,01F0A009,0000800103E80000
CAN,2136649,1,0C001000,012B000000000000
CAN,2137517,1,0C301000,0160000000000000
CAN,2196842,1,0C201000,013F000000000000
CAN,2196854,1,01F0A000,0000454102371728
CAN,2196866,1,01F0A003,8114000000300428
CAN,2196878,1,01F0A009,0000800103E80000
ACC,2198369,26840,-166896,1000400
GYR,2199339,179,578,-304
CAN,2199352,1,01F0A020,0000000000000000
EGT,2200461,17.94
CAN,2200474,1,01F0A010,0000000000323200
CAN,2200487,1,0C001000,012B000000000000
CAN,2200499,1,000A0630,FFFFFFFF00000000
CAN,2200542,1,01F0A022,0000000000000000
CAN,2201116,1,01F0A000,0000457802431728
CAN,2201408,1,0C301000,015E000000000000
CAN,2201702,1,01F0A011,0000000000000000
CAN,2202015,1,01F0A003,8114000000300429
CAN,2202313,1,0C201000,0140000000000000
CAN,2202599,1,01F0A012,0649000000003200
CAN,2202900,1,01F0A004,03D0000100000100
CAN,2203262,1,01F0A005,000000000000000E
CAN,2209707,1,01F0A000,0000457B02431728
CAN,2210139,1,0C101000,0142000000000000
CAN,2210504,1,0C001000,012A000000000000
CAN,2211194,1,01F0A003,8114000000300429
CAN,2211743,1,01F0A00B,03E8000000003200
